0.0, -3.0, 0.0, 0.0, 2.6, 7.8, 0.0, -5.0, 0.0 | -126.65 | 4
0.0, -5.0, 0.0, 0.0, 2.5, 7.5, 0.0, -5.0, 0.0 | -132.6 | 3
0.0, -3.0, 0.0, 0.0, 3.35, 7.5, 0.0, -4.5, 0.0 | -131.2 | 3
0.0, -5.0, 0.0, 0.0, 3.0, 7.0, 0.0, -5.0, 0.0 | -123.3 | 4
0.0, -3.0, 0.0, 0.0, 2.6, 7.5, -0.5, -5.0, 0.0 | -200.0 | 1
0.0, -3.0, 0.0, 0.0, 3.4, 7.5, 0.0, -4.6, 0.0 | -111.6 | 4
0.0, -4.0, 0.0, 0.0, 2.5, 7.0, 0.0, -5.0, 0.2 | -200.0 | 1
0.1, -3.0, 0.0, 0.0, 2.6, 7.5, 0.0, -5.0, 0.0 | -131.35 | 3
0.0, -5.0, 0.0, 0.0, 2.6, 7.0, 0.0, -5.0, 0.0 | -149.85 | 3
0.0, -4.0, 0.0, 0.0, 2.5, 7.0, 0.0, -5.0, 0.0 | -119.6 | 4
0.0, -5.0, 0.0, -6.0, 1.0, 6.0, 0.0, -5.0, 0.0 | -125.65 | 4
0.0, -5.0, 0.0, 0.0, 0.0, 6.0, 0.0, -5.0, 0.0 | -127.15 | 4
0.0, -3.0, 0.0, 0.0, 3.2, 7.5, 0.0, -4.6, 0.0 | -135.3 | 3
0.0, -3.0, 0.0, 0.0, 2.6, 7.5, -1.0, -5.0, 0.0 | -200.0 | 1
0.0, -5.0, 0.0, 0.0, 2.0, 7.0, 0.0, -5.0, 0.0 | -140.85 | 3
0.0, -3.0, 0.0, 0.0, 2.6, 7.5, 0.0, -5.0, 0.0 | -124.7 | 4
0.0, -3.0, 0.5, 0.0, 2.6, 7.5, 0.0, -5.0, 0.0 | -200.0 | 1
0.0, -5.0, 0.0, 0.0, 2.6, 6.0, 0.0, -5.0, 0.0 | -133.1 | 3
0.0, -3.0, 0.0, 0.0, 2.8, 7.0, 0.0, -4.0, 0.0 | -131.9 | 3
0.0, -3.0, 0.0, 0.0, 2.6, 7.5, -1.0, -5.0, 0.0 | -200.0 | 1
0.0, -4.0, 0.0, 0.0, 2.5, 5.8, 0.2, -5.0, -0.2 | -200.0 | 1
0.0, -5.0, 0.0, 0.0, 2.5, 7.1, 0.0, -5.0, 0.0 | -138.2 | 3
0.0, -3.0, 1.0, 0.0, 2.6, 7.5, 0.0, -5.0, 0.0 | -200.0 | 1
0.5, -3.0, 0.0, 0.0, 2.6, 7.5, 0.0, -4.0, 0.0 | -200.0 | 1
0.0, -3.0, 0.0, 0.0, 2.6, 7.5, 0.0, -5.0, 1.0 | -200.0 | 1
0.0, -2.0, 0.0, 0.0, 2.6, 7.5, 0.0, -5.0, 0.0 | -133.4 | 3
0.0, -5.0, 0.0, -6.0, 5.0, 6.0, 0.0, -5.0, 0.0 | -124.3 | 4
0.0, -3.0, 0.0, 0.0, 2.6, 7.5, 0.0, -5.0, 0.0 | -112.75 | 4
0.0, -2.9, 0.0, 0.0, 2.6, 7.5, 0.0, -5.0, 0.0 | -129.4 | 4
0.0, -3.0, 0.0, 0.0, 3.37, 7.45, 0.0, -4.5, 0.0 | -128.05 | 4
0.0, -5.0, 0.0, 0.0, 2.5, 7.0, 0.0, -5.0, 0.5 | -200.0 | 1
0.0, -3.0, 0.0, 0.0, 2.6, 8.0, 0.0, -5.0, 0.0 | -131.35 | 3
0.0, -3.0, 0.0, 0.0, 2.6, 7.4, 0.0, -5.0, 0.5 | -200.0 | 1
0.0, -3.0, 0.0, 0.0, 3.4, 7.5, 0.5, -4.6, 0.0 | -200.0 | 1
0.0, -5.0, 0.0, 0.0, 2.5, 7.0, 0.0, -5.0, -0.5 | -200.0 | 1
-0.5, -5.0, 0.0, -6.0, 0.5, 6.0, 0.0, -5.0, 0.0 | -200.0 | 1
-0.5, -4.0, 0.0, 0.0, 2.5, 6.0, 0.0, -5.0, 0.0 | -200.0 | 1
0.5, -3.0, 0.0, 0.0, 3.4, 7.5, 0.0, -4.5, 0.0 | -200.0 | 1
0.0, -3.0, 0.0, 0.0, 2.5, 7.5, 0.0, -5.0, 0.0 | -130.9 | 3
0.0, -3.9, 0.0, 0.0, 2.5, 7.0, 0.0, -5.0, 0.0 | -134.4 | 3
0.0, -6.0, 0.0, 0.0, 2.5, 6.0, 0.0, -5.0, 0.0 | -143.2 | 3
0.0, -5.0, 0.0, 0.0, 2.5, 6.0, -1.0, -5.0, 0.0 | -200.0 | 1
0.0, -3.0, 0.0, 0.0, 3.4, 7.4, 0.0, -4.5, 0.0 | -120.7 | 4
-1.0, -5.0, 0.0, -6.0, 1.0, 6.0, 0.0, -5.0, 0.0 | -200.0 | 1
0.0, -2.9, 0.0, 0.0, 2.6, 7.5, 0.0, -5.0, 0.0 | -130.0 | 3
0.0, -3.0, 0.0, 0.0, 6.0, 6.0, 0.0, -5.0, 0.0 | -141.05 | 3
0.0, -5.0, 0.0, 0.0, 2.0, 6.0, 0.0, -5.0, 0.0 | -124.6 | 4
0.0, -3.0, 0.0, 0.1, 3.4, 7.5, 0.0, -4.5, 0.0 | -122.0 | 4
0.0, -3.0, 0.0, 0.0, 3.4, 7.5, 0.0, -4.7, 0.0 | -141.75 | 3
-1.0, -3.0, 0.0, 0.0, 2.6, 7.5, 0.0, -5.0, 0.0 | -200.0 | 1
0.0, -3.0, 0.0, 0.0, 3.0, 7.5, 0.0, -4.0, 0.0 | -135.5 | 3
0.0, -4.2, 0.0, 0.0, 2.5, 7.0, 0.0, -5.0, 0.0 | -124.3 | 4
